Country Code,Country Name,Continent Code,AG.LND.ARBL.ZS,AG.LND.PRCP.MM,BN.CAB.XOKA.GD.ZS,CM.MKT.LCAP.GD.ZS,EG.GDP.PUSE.KO.PP,EN.POP.DNST,FB.BNK.CAPA.ZS,FR.INR.RINR,GC.NLD.TOTL.GD.ZS,IC.FRM.BRIB.ZS,IC.IMP.TMDC
JPN,Japan,AS,11.53445249,1668,3.109068449,111.5148947,11.78228644,348.7519201,0,-0.981506242,-4.465258024,0,3.4
KAZ,Kazakhstan,EU,10.88824684,250,-3.26029264,18.9230309,0,6.498057562,10.58348335,0,-2.418086253,32.8,6
KEN,Kenya,AF,10.19081421,630,-6.700667578,0,0,84.12400464,15.37457623,5.509323731,-8.708074564,26.4,84
KGZ,Kyrgyz Republic,AS,6.678832117,533,-15.75924589,0,0,31.05787278,16.50303756,19.56117911,-1.046855045,59.8,36
KHM,Cambodia,AS,21.52730569,1904,-8.683684682,0,0,87.93018355,14.22900599,0,-0.866857611,69.4,132
KIR,Kiribati,OC,2.469135802,630,33.02457101,0,0,136.9506173,0,0,55.8843506,0,48
KNA,St. Kitts and Nevis,NO,19.23076923,1427,-10.29567425,0,0,196.9346154,7.41510336,9.323149202,6.663636897,2.2,33
KOR,Korea,AS,15.02899071,1274,7.602063544,89.03903601,6.60602928,523.5255477,8.028209415,1.112044791,0.810614128,0,1
KWT,Kuwait,AS,0.432098755,121,7.492750182,0,0,215.2407969,12.62518604,40.859904,-20.94954646,0,124
LAO,Lao PDR,AS,6.60745234,1834,-15.75779922,0,0,29.20781629,0,0,0,40.3,60
LBN,Lebanon,AS,12.90322581,661,-17.09248502,22.77379102,0,638.5804497,0,3.92496741,-6.941129734,20.6,72
LBR,Liberia,AF,5.1910299,2391,5.38600191,0,0,46.4309593,0,12.4266163,0,70.5,144
LBY,Libya,AF,0.977528218,56,-33.56783229,0,0,3.647723269,0,0,0,0,96
LCA,St. Lucia,NO,4.918032787,2301,4.237300449,0,0,293.6491803,3.529741679,2.598679309,-2.098409089,11.6,19
LIE,Liechtenstein,EU,13.50000054,56,0,0,0,234.1875,0,0,0,0,0
LKA,Sri Lanka,AS,20.73034604,1712,-2.335829734,25.81024412,0,334.396428,7.882139617,6.267777191,-7.56980555,10,58
LSO,Lesotho,AF,7.213438735,788,-3.092810371,0,0,67.82019104,10.53228534,0.666723076,-1.210784159,14.6,3
LTU,Lithuania,EU,34.66719716,656,-2.279237588,0,0,46.36727853,11.05792505,0,-0.581558329,10.4,1
LUX,Luxembourg,EU,25.84362109,934,5.155256513,82.39117955,15.69549106,234.4049383,7.010517614,0,0.946455583,0,1
LVA,Latvia,EU,19.77806447,641,-0.482929386,0,0,31.80326472,10.06332947,0,-2.404445808,8.9,1
MAC,"Macao SAR, China",AS,0,0,25.3169753,0,0,19805.42788,0,0.715360531,0,0,0
MAF,St. Martin (French part),NO,0,0,0,0,0,659.1544118,0,0,0,0,0
MAR,Morocco,AF,18.21644634,346,-2.135501854,45.39237707,0,77.66883935,0,0,0.964530695,37.2,29
MCO,Monaco,EU,0,0,0,0,0,18859,4.28818094,0,0,0,0
MDA,Moldova,EU,55.44099831,450,-5.975805764,0,0,123.806319,0,4.184643995,-1.631588732,31,2
MDG,Madagascar,AF,6.015812994,1513,-2.788071553,0,0,41.65364043,11.5928709,45.71329735,0,32.9,104
MDV,Maldives,AS,13.00000032,1972,-7.341580175,0,0,1516.383333,20.45587561,2.938350269,0,0,61
MEX,Mexico,NO,11.84495486,758,-2.60489289,34.36403879,11.89445318,62.68590139,10.44797626,0.617884103,-3.232694539,17.6,17.6
MHL,Marshall Islands,OC,11.11111111,560,-3.913365522,0,0,319.1055556,0,0,2.874507159,0,60
MKD,North Macedonia,EU,16.41554322,619,-1.913378265,0,0,82.44758128,10.83699742,5.345499685,-3.566383177,14.7,3
MLI,Mali,AF,5.254099771,282,-5.32405555,0,0,14.29185455,0,2.005611677,-2.596384655,33.7,84
MLT,Malta,EU,28.03125083,560,2.807660254,41.16403247,0,1390.790625,7.312716759,0,-1.069858589,0,1
MMR,Myanmar,AS,16.67942672,2091,-4.754229419,0,0,80.66504257,0,8.511219905,-4.27584084,42.9,48
MNE,Montenegro,EU,0.646840135,241,-10.92192764,0,0,46.25717472,0,6.173444408,0,18.8,10
MNG,Mongolia,AS,0.365096947,241,-8.07222151,0,0,1.930043899,0,17.52598107,-4.71139931,33.4,115
MNP,Northern Mariana Islands,OC,2.173913043,0,0,0,0,121.2608696,0,0,0,0,0
