Country Code,Country Name,Continent Code,BN.CAB.XOKA.GD.ZS,EG.ELC.ACCS.ZS,IC.FRM.BRIB.ZS,IT.NET.USER.ZS
,,,Current account balance (% of GDP),Access to electricity (% of population),Bribery incidence (% of firms experiencing at least one bribe payment request),Individuals using the Internet (% of population)
PRY,Paraguay,SA,-0.400690257,99.331532,13.8,49.72
PSE,West Bank and Gaza,AS,-16.30051748,100,6.9,57.42419241
QAT,Qatar,AS,8.501816613,100,,92.88482645
ROU,Romania,EU,-1.211872396,100,9.8,55.7632
RUS,Russia,EU,4.970479603,100,14.2,70.1
RWA,Rwanda,AF,-14.51273805,22.8,6.9,18
SAU,Saudi Arabia,AS,-8.669784327,100,,69.6162358
SDN,Sudan,AF,-5.644678254,49.26267624,17.6,26.61
SEN,Senegal,AF,-5.316169392,60.5,11.1,21.69026413
SGP,Singapore,AS,16.89238303,100,,79.012957
SLB,Solomon Islands,OC,-3.124142449,55.1,43.8,10.00046498
SLE,Sierra Leone,AF,-23.7768122,19.17752075,18.1,6.344421603
SLV,El Salvador,NO,-3.215929355,95.4,4.2,26.80260496
SOM,Somalia,AF,,29.38702774,,1.76
SRB,Serbia,EU,-3.456402544,100,6.1,65.3170254
SSD,South Sudan,AF,-4.042118381,18.59687424,48,5.5
STP,São Tomé and Principe,AF,-21.58375817,67.59500122,,25.82
SUR,Suriname,SA,-16.42729299,95.11044312,4.9,42.76382778
SVK,Slovak Republic,EU,-1.719166125,100,4.4,77.6347
SVN,Slovenia,EU,4.530620758,100,0.2,73.0987
SWE,Sweden,EU,4.148238324,100,1.9,90.6102
SWZ,Eswatini,AF,18.26696243,66.02803802,6.7,25.64304231
SYC,Seychelles,AF,-18.59762125,100,,54.25961786
SYR,Syrian Arab Republic,AS,,89.81367493,69.6,29.97979724
TCD,Chad,AF,,7.7,27.4,3.5
TGO,Togo,AF,-11.02701157,45.18544388,7,7.12
THA,Thailand,AS,8.002252213,99.6,9.9,39.31612674
TJK,Tajikistan,AS,-6.07382178,99.65236664,36.3,18.98
TKM,Turkmenistan,AS,,100,,14.99677482
TLS,Timor-Leste,AS,7.26946907,67.28153394,16.1,23
TON,Tonga,OC,-14.05721824,96.20616913,24.9,38.65127243
TTO,Trinidad and Tobago,NO,7.38658475,100,10.5,69.19847061
TUN,Tunisia,AF,-8.921183911,100,10.3,46.5
TUR,Turkey,EU,-3.738673752,100,5.4,53.74497914
TUV,Tuvalu,OC,,99.17047119,,42.7
TZA,Tanzania,AF,-8.695366072,26.57386971,20.8,10
UGA,Uganda,AF,-6.166432729,18.5,22,17.83485947
UKR,Ukraine,EU,1.775220221,100,50.4,48.88464368
URY,Uruguay,SA,-0.917352403,99.70948,2.2,64.6
USA,United States,NO,-2.238115921,100,,74.55420245
UZB,Uzbekistan,AS,,99.9980545,7,42.8
VCT,St. Vincent and the Grenadines,NO,-14.53686586,99.45231628,4.9,51.77
VEN,Venezuela,SA,,99.84030914,10.3,60
VNM,Vietnam,AS,0.46884434,100,26.1,43.5
VUT,Vanuatu,OC,-11.11933589,48.42285538,11.9,22.35140458
WSM,Samoa,OC,-1.585359965,99.50136566,30.5,25.40700977
XKX,Kosovo,EU,-8.492157137,100,9,0
YEM,Yemen,AS,-7.098623552,74.26837158,64.3,24.08540947
ZAF,South Africa,ZZ,-4.587766965,85.5,,51.91911572
ZMB,Zambia,AF,-3.628805208,31.1,15.8,21
ZWE,Zimbabwe,AF,-8.407759962,33.7,16.2,22.7428181
